driftx,drifty
-87.6461414113913,-68.2457626948362
-87.7683602850242,-68.3713208672832
-87.8909122125102,-68.4972211933755
-88.0128198915763,-68.6224596687093
-88.1346099868983,-68.7475773476426
-88.2568753415413,-68.8731832710671
-88.3797591218209,-68.9994245169293
-88.501666800887,-69.1246629922632
-88.6240010963564,-69.250339740135
-88.7462337821758,-69.375912102149
-88.8676403791374,-69.5006358046707
-88.9913459244597,-69.6277212680738
-89.1125844931702,-69.7522723514286
-89.235533851309,-69.878580966887
-89.3570086684613,-70.0033747535308
-89.4787612907209,-70.1284539355519
-89.5773287075454,-70.2221134787826
-89.6528256287373,-70.2840829274269
-89.7272716231827,-70.3451897534634
-89.8010990805473,-70.4057888713541
-89.8756078814238,-70.4669472502201
-89.9503869624844,-70.5283274807023
-90.0252427011028,-70.5897706333079
-90.0998673677524,-70.6510241172187
-90.1749634124238,-70.7126645180482
